system,body,type,subType,temp,radius,absMagnitude,solMass,spectralClass,luminosity
Sifoae JY-Y b28-0,Sifoae JY-Y b28-0 C,Star,L (Brown dwarf) Star,1903,12.053711,0.33135983896477356,0.164063,L1,V
Sifoae JY-Y b28-0,Sifoae JY-Y b28-0 D,Star,M (Red dwarf) Star,3242,8.802628,0.5100402473040978,0.355469,M2,Va
Theema OF-E d12-9,Theema OF-E d12-9,Star,M (Red dwarf) Star,2460,10.595688,0.38800048310567936,0.246094,M7,Va
Eoch Flyi BQ-V d3-93,Eoch Flyi BQ-V d3-93 A,Star,G (White-Yellow) Star,5905,4.595596,1.0665587577282531,1.1875,G1,Vab
Eoch Flyi BQ-V d3-93,Eoch Flyi BQ-V d3-93 B,Star,F (White) Star,6238,4.096527,1.202606102084831,1.183594,F8,Vab
Eoch Flyi BQ-V d3-93,Eoch Flyi BQ-V d3-93 C,Star,K (Yellow-Orange) Star,4421,6.32872,0.8567504701653487,0.695313,K5,Va
Pyraleau CP-Q c21-43,Pyraleau CP-Q c21-43,Star,M (Red dwarf) Star,3424,7.861572,0.7052307232207046,0.492188,M1,Va
Hegoea EL-B b28-2,Hegoea EL-B b28-2 A,Star,M (Red dwarf) Star,3670,7.766052,0.6414489489575844,0.425781,M0,Va
Hegoea EL-B b28-2,Hegoea EL-B b28-2 B,Star,M (Red dwarf) Star,2379,10.660812,0.4026183867721064,0.242188,M7,Va
Thuechu HY-C b5-9,Thuechu HY-C b5-9 A,Star,M (Red dwarf) Star,3368,8.33783,0.5853576189791517,0.445313,M1,Va
Thuechu HY-C b5-9,Thuechu HY-C b5-9 B,Star,M (Red dwarf) Star,2129,11.229233,0.3869628641265277,0.222656,M9,VI
Segne BV-R c7-18,Segne BV-R c7-18,Star,K (Yellow-Orange) Star,3933,7.34227,0.6788635053918045,0.472656,K8,Va
Skueqiae NX-X a55-0,Skueqiae NX-X a55-0,Star,Y (Brown dwarf) Star,419,21.636795,0.07644652767792955,0.015625,Y4,V
Byeia Chrea OF-A c16,Byeia Chrea OF-A c16,Star,K (Yellow-Orange) Star,4865,5.746063,0.9252012997843279,0.890625,K2,Va
Phua Audst AA-A h96,Phua Audst AA-A h96 A,Star,T Tauri Star,2641,9.593826,0.5339355283968368,0.324219,TTS6,Va
Phua Audst AA-A h96,Phua Audst AA-A h96 B,Star,T Tauri Star,1805,12.00209,0.37716674622573687,0.183594,TTS2,VI
Hegeia KN-S c17-4,Hegeia KN-S c17-4 A,Star,K (Yellow-Orange) Star,4626,6.236908,0.8162841581595974,0.675781,K3,Va
Hegeia KN-S c17-4,Hegeia KN-S c17-4 B,Star,M (Red dwarf) Star,2880,9.243591,0.5275573371675054,0.34375,M4,Va
Syneayoi MD-R c18-0,Syneayoi MD-R c18-0,Star,K (Yellow-Orange) Star,4272,6.891556,0.7080993587347232,0.601563,K6,Va
Skaude VT-J c24-27,Skaude VT-J c24-27,Star,K (Yellow-Orange) Star,4430,6.537109,0.775207476635514,0.722656,K5,Va
Bleia Byoe LY-F d12-39,Bleia Byoe LY-F d12-39,Star,G (White-Yellow) Star,5823,4.820969,0.9887389906542056,1.097656,G2,Vab
Drooteou MN-W a97-4,Drooteou MN-W a97-4 A,Star,M (Red dwarf) Star,2009,11.500702,0.38351436376707404,0.191406,M9,VI
Drooteou MN-W a97-4,Drooteou MN-W a97-4 B,Star,T (Brown dwarf) Star,1011,16.315567,0.1650085176132279,0.0625,T4,V
Drooteou MN-W a97-4,Drooteou MN-W a97-4 C,Star,T (Brown dwarf) Star,1267,14.289566,0.26702879654924516,0.105469,T0,V
Skaude QJ-W c3-4,Skaude QJ-W c3-4 A,Star,K (Yellow-Orange) Star,5186,5.541031,0.8948058547807333,0.78125,K0,Va
Skaude QJ-W c3-4,Skaude QJ-W c3-4 B,Star,M (Red dwarf) Star,2887,9.46907,0.4732360603882099,0.335938,M4,Va
Thuechu IV-Y c3-10,Thuechu IV-Y c3-10,Star,G (White-Yellow) Star,5325,5.419327,0.8976134809489575,0.855469,G8,Vab
Myriesly NH-E c27-2241,Myriesly NH-E c27-2241,Star,K (Yellow-Orange) Star,4724,6.114716,0.8280639309849029,0.742188,K3,Va
Sutchae TW-W c1-14,Sutchae TW-W c1-14 A,Star,G (White-Yellow) Star,5241,5.713348,0.8092955974119339,0.78125,G9,Vab
Sutchae TW-W c1-14,Sutchae TW-W c1-14 B,Star,M (Red dwarf) Star,2976,8.968246,0.5608520143781452,0.382813,M4,Va
Sutchae TW-W c1-14,Sutchae TW-W c1-14 C,Star,M (Red dwarf) Star,2418,10.526718,0.4145507749820273,0.28125,M7,Va
Plooe Brai ZR-O b21-0,Plooe Brai ZR-O b21-0,Star,M (Red dwarf) Star,2707,10.065918,0.4089355226455787,0.257813,M5,Va
Cyoagaea HE-W b33-2,Cyoagaea HE-W b33-2,Star,M (Red dwarf) Star,2892,9.332397,0.502227738317757,0.371094,M4,Va
Thuechu TP-X a14-0,Thuechu TP-X a14-0,Star,T Tauri Star,1188,14.699127,0.25152586628324947,0.097656,TTS1,VI
Eok Pruae VG-Q c20-645,Eok Pruae VG-Q c20-645,Star,K (Yellow-Orange) Star,4534,6.243591,0.8471374033069734,0.714844,K4,Va
IC 2602 Sector YW-H a11-4,IC 2602 Sector YW-H a11-4,Star,T (Brown dwarf) Star,1164,15.187073,0.2092895470884256,0.089844,T2,V
Preia Phoe AQ-N b10-6,Preia Phoe AQ-N b10-6 A,Star,M (Red dwarf) Star,3424,8.341187,0.5654907030913012,0.410156,M1,Va
Preia Phoe AQ-N b10-6,Preia Phoe AQ-N b10-6 B,Star,L (Brown dwarf) Star,1970,11.766006,0.3529968310567937,0.207031,L0,V
Thuechu GR-E a11-1,Thuechu GR-E a11-1,Star,L (Brown dwarf) Star,1538,13.122864,0.3100890869877786,0.132813,L6,V
Pro Broae MW-A c27-17,Pro Broae MW-A c27-17,Star,K (Yellow-Orange) Star,4094,7.062698,0.7125853860531991,0.617188,K7,Va
Byoi Broae LU-U c4-0,Byoi Broae LU-U c4-0 A,Star,K (Yellow-Orange) Star,4228,6.912399,0.7160033817397555,0.550781,K6,Va
Byoi Broae LU-U c4-0,Byoi Broae LU-U c4-0 B,Star,M (Red dwarf) Star,2571,10.072388,0.4519958360891445,0.316406,M6,Va
Byoi Broae LU-U c4-0,Byoi Broae LU-U c4-0 C,Star,M (Red dwarf) Star,2554,10.202209,0.4314574953271028,0.292969,M6,Va
Skaude SW-L b11-5,Skaude SW-L b11-5 A,Star,M (Red dwarf) Star,2479,10.345062,0.4288024845434939,0.289063,M7,Va
Skaude SW-L b11-5,Skaude SW-L b11-5 B,Star,L (Brown dwarf) Star,1988,11.482483,0.3949584471603163,0.214844,L0,V
Blu Thua XC-U c3-3,Blu Thua XC-U c3-3 A,Star,M (Red dwarf) Star,3670,8.023087,0.5698546657081236,0.472656,M0,Va
Blu Thua XC-U c3-3,Blu Thua XC-U c3-3 B,Star,M (Red dwarf) Star,2252,10.861252,0.4096984615384615,0.265625,M8,Va
Pyuefoea KJ-S b8-0,Pyuefoea KJ-S b8-0 A,Star,M (Red dwarf) Star,3209,8.625504,0.5648193242271747,0.429688,M2,Va
Pyuefoea KJ-S b8-0,Pyuefoea KJ-S b8-0 B,Star,M (Red dwarf) Star,2468,10.535263,0.39636226024442844,0.234375,M7,Va
Truechoae JF-A b13,Truechoae JF-A b13,Star,M (Red dwarf) Star,2565,9.843781,0.5045166010064701,0.316406,M6,Va
Pyrivo RW-D c28-8,Pyrivo RW-D c28-8,Star,K (Yellow-Orange) Star,4445,6.516708,0.7772521639108555,0.699219,K5,Va
Eoch Flyi ZV-L c24-2534,Eoch Flyi ZV-L c24-2534 A,Star,G (White-Yellow) Star,5254,5.279785,0.9832152983465133,0.867188,G9,Va
Eoch Flyi ZV-L c24-2534,Eoch Flyi ZV-L c24-2534 B,Star,K (Yellow-Orange) Star,4458,6.602524,0.7427978030194105,0.683594,K4,Vab
Nyuena ZE-A d841,Nyuena ZE-A d841,Star,F (White) Star,7109,3.331924,1.3166808799424874,1.378906,F2,Vb
Pyraleau VN-Y b47-7,Pyraleau VN-Y b47-7,Star,M (Red dwarf) Star,2568,10.034195,0.46109004744787924,0.269531,M6,Va
Pyria Thua QX-U d2-1,Pyria Thua QX-U d2-1,Star,F (White) Star,7172,3.259949,1.3372496793673616,1.460938,F2,Vb
Tyroosks MM-Y c3-1,Tyroosks MM-Y c3-1 A,Star,K (Yellow-Orange) Star,3962,7.627258,0.5867004227174695,0.488281,K8,Va
Tyroosks MM-Y c3-1,Tyroosks MM-Y c3-1 B,Star,M (Red dwarf) Star,3391,8.361465,0.5711974694464415,0.472656,M1,Va
Tyroosks MM-Y c3-1,Tyroosks MM-Y c3-1 C,Star,L (Brown dwarf) Star,1896,12.105606,0.32592768368080516,0.15625,L1,V
IC 1848 Sector SE-G c11-21,IC 1848 Sector SE-G c11-21,Star,M (Red dwarf) Star,3591,7.936066,0.6195373457943926,0.539063,M0,Va
IC 1848 Sector SE-G c11-21,IC 1848 Sector SE-G c11-21 9,Star,Y (Brown dwarf) Star,372,23.205551,0.05685424586628325,0.011719,Y4,V
Blua Eaec OH-L b24-31,Blua Eaec OH-L b24-31,Star,M (Red dwarf) Star,3626,8.026611,0.5828246728971963,0.441406,M0,Va
Pyra Dryiae YY-Q c21-0,Pyra Dryiae YY-Q c21-0,Star,K (Yellow-Orange) Star,4392,6.557327,0.781371997124371,0.613281,K5,Va
Brairee HD-I d10-2320,Brairee HD-I d10-2320 A,Star,F (White) Star,7307,3.150864,1.3546447045291157,1.445313,F1,Vb
Brairee HD-I d10-2320,Brairee HD-I d10-2320 B,Star,M (Red dwarf) Star,3137,8.695969,0.572174033069734,0.382813,M3,Va
Syre Thua JJ-G c24-0,Syre Thua JJ-G c24-0 A,Star,K (Yellow-Orange) Star,4076,6.8965,0.7760619755571532,0.589844,K7,Va
Syre Thua JJ-G c24-0,Syre Thua JJ-G c24-0 B,Star,M (Red dwarf) Star,2670,10.037231,0.4259338030194105,0.300781,M6,Va
Syre Thua JJ-G c24-0,Syre Thua JJ-G c24-0 C,Star,M (Red dwarf) Star,3338,8.366074,0.5882263005032351,0.414063,M2,Va
Smootiae LO-Z d13-28,Smootiae LO-Z d13-28 A,Star,F (White) Star,7389,3.15921,1.3196716261682242,1.535156,F0,Vb
Smootiae LO-Z d13-28,Smootiae LO-Z d13-28 B,Star,M (Red dwarf) Star,2988,9.311584,0.47500606757728253,0.3125,M4,Va
Aucoks ZX-P a32-4,Aucoks ZX-P a32-4,Star,Y (Brown dwarf) Star,444,22.5289,0.07510375269590223,0.015625,Y3,V
Stuelou RP-T c18-25,Stuelou RP-T c18-25,Star,G (White-Yellow) Star,5281,5.459732,0.8958129230769231,0.863281,G8,Vab
Blu Thua IP-V b17-0,Blu Thua IP-V b17-0 A,Star,M (Red dwarf) Star,3136,8.68718,0.5748595945363049,0.402344,M3,Va
Blu Thua IP-V b17-0,Blu Thua IP-V b17-0 B,Star,M (Red dwarf) Star,2427,10.717422,0.376892066139468,0.226563,M7,Va
Blu Thua IP-V b17-0,Blu Thua IP-V b17-0 C,Star,L (Brown dwarf) Star,1734,12.716583,0.2941283795830338,0.128906,L3,V
Nuekuae JR-C d286,Nuekuae JR-C d286,Star,G (White-Yellow) Star,5405,5.320862,0.9116515197699496,0.96875,G7,Vab
Greae Hypai XM-M c10-62,Greae Hypai XM-M c10-62 A,Star,K (Yellow-Orange) Star,4175,6.974243,0.71368406038821,0.648438,K6,Va
Greae Hypai XM-M c10-62,Greae Hypai XM-M c10-62 B,Star,M (Red dwarf) Star,3210,8.33699,0.6446532739036664,0.460938,M2,Va
Eactaipp UK-B b44-0,Eactaipp UK-B b44-0,Star,M (Red dwarf) Star,2272,10.650452,0.4435424529115744,0.238281,M8,Va
Dryiqau CG-B c15-3,Dryiqau CG-B c15-3,Star,K (Yellow-Orange) Star,4677,6.22728,0.8021239166067577,0.792969,K3,Va
Wepue OK-P c22-2218,Wepue OK-P c22-2218 A,Star,G (White-Yellow) Star,5644,5.316696,0.8376769058231488,0.863281,G4,Vab
Wepue OK-P c22-2218,Wepue OK-P c22-2218 B,Star,M (Red dwarf) Star,3513,8.148285,0.5870971214953271,0.453125,M1,Va
Pyrivo VH-V c5-16,Pyrivo VH-V c5-16 A,Star,M (Red dwarf) Star,3679,7.685745,0.6623534838245866,0.539063,M0,Va
Pyrivo VH-V c5-16,Pyrivo VH-V c5-16 B,Star,L (Brown dwarf) Star,1599,13.179855,0.27944944356578,0.113281,L5,V
Pyrivo VH-V c5-16,Pyrivo VH-V c5-16 C,Star,M (Red dwarf) Star,2193,11.421036,0.333892785046729,0.1875,M8,Va
Pyrivo VH-V c5-16,Pyrivo VH-V c5-16 D,Star,L (Brown dwarf) Star,1529,13.238037,0.2975463752695902,0.140625,L6,V
Eowyg Aescs OB-B c27-0,Eowyg Aescs OB-B c27-0,Star,G (White-Yellow) Star,5550,5.230072,0.9015501941049605,0.835938,G5,Vab
Prae Flyi RZ-R c20-115,Prae Flyi RZ-R c20-115,Star,K (Yellow-Orange) Star,4569,6.509537,0.7380675542774982,0.628906,K4,Va
Hypou Chroa VT-R e4-1,Hypou Chroa VT-R e4-1,Star,B (Blue-White) Star,11196,0.44455,2.0059202990654206,2.667969,B9,Vab
Dryoea Flyuae XO-A e4067,Dryoea Flyuae XO-A e4067 A,Star,B (Blue-White) Star,13939,-0.805664,2.3012386599568657,3.789063,B8,Vz
Traikeou TQ-G b52-2,Traikeou TQ-G b52-2 A,Star,M (Red dwarf) Star,2538,10.080643,0.4620666110711718,0.292969,M6,Va
Traikeou TQ-G b52-2,Traikeou TQ-G b52-2 B,Star,L (Brown dwarf) Star,1438,14.23703,0.21237183033788642,0.09375,L8,V
Dryooe Prou JH-K d9-216,Dryooe Prou JH-K d9-216,Star,G (White-Yellow) Star,5490,5.191925,0.9376830021567217,1.046875,G6,Vab
Cheae Euq QD-K d8-1,Cheae Euq QD-K d8-1 A,Star,F (White) Star,6763,4.087112,1.0275878648454349,1.175781,F4,VI
Cheae Euq QD-K d8-1,Cheae Euq QD-K d8-1 B,Star,M (Red dwarf) Star,3493,8.183502,0.5842894953271028,0.441406,M1,Va
Cheae Euq QD-K d8-1,Cheae Euq QD-K d8-1 C,Star,M (Red dwarf) Star,3237,8.291473,0.6473693400431344,0.441406,M2,Va
Byoomi SY-L c10-885,Byoomi SY-L c10-885 A,Star,K (Yellow-Orange) Star,4904,6.074768,0.7826537455068296,0.796875,K1,Vab
Byoomi SY-L c10-885,Byoomi SY-L c10-885 B,Star,M (Red dwarf) Star,3207,8.648132,0.5596618260244428,0.445313,M2,Va
Byoomi SY-L c10-885,Byoomi SY-L c10-885 C,Star,L (Brown dwarf) Star,1384,13.886108,0.26947020560747664,0.113281,L8,V
Ploi Briae BN-A b41-1,Ploi Briae BN-A b41-1 A,Star,M (Red dwarf) Star,2287,10.95105,0.3811645377426312,0.199219,M8,Va
Ploi Briae BN-A b41-1,Ploi Briae BN-A b41-1 B,Star,T (Brown dwarf) Star,1127,15.10054,0.23233032925952551,0.085938,T2,V
Smojai WC-X b42-1,Smojai WC-X b42-1,Star,M (Red dwarf) Star,3612,7.939606,0.6113585966930266,0.429688,M0,Va
Synuefai TL-D c0,Synuefai TL-D c0 A,Star,K (Yellow-Orange) Star,4842,5.862503,0.8852537972681525,0.789063,K2,Va
Blaa Phoe LO-P d6-439,Blaa Phoe LO-P d6-439,Star,F (White) Star,6072,4.405167,1.1011352293314163,1.039063,F9,Vb
Blaa Phoe LO-P d6-439,Blaa Phoe LO-P d6-439 9,Star,Y (Brown dwarf) Star,348,23.526733,0.06610107260963335,0.011719,Y5,V
Croomoi XO-G c24-95,Croomoi XO-G c24-95 A,Star,K (Yellow-Orange) Star,3873,7.11058,0.7788696017253774,0.601563,K8,Va
Croomoi XO-G c24-95,Croomoi XO-G c24-95 B,Star,M (Red dwarf) Star,3622,8.204987,0.5380553616103523,0.414063,M0,Va
Croomoi XO-G c24-95,Croomoi XO-G c24-95 C,Star,K (Yellow-Orange) Star,3739,7.852753,0.5938109561466571,0.457031,K9,Va
Croomoi XO-G c24-95,Croomoi XO-G c24-95 D,Star,M (Red dwarf) Star,2951,9.074783,0.5430907951114307,0.34375,M4,Va
Croomoi XO-G c24-95,Croomoi XO-G c24-95 E,Star,L (Brown dwarf) Star,1412,13.726059,0.2786865046728972,0.113281,L8,V
Hatchoi RH-U c16-0,Hatchoi RH-U c16-0 A,Star,M (Red dwarf) Star,3620,7.595825,0.7130431401869158,0.546875,M0,Va
Hatchoi RH-U c16-0,Hatchoi RH-U c16-0 B,Star,M (Red dwarf) Star,2630,9.892075,0.46932980589503953,0.332031,M6,Va
Hatchoi RH-U c16-0,Hatchoi RH-U c16-0 C,Star,L (Brown dwarf) Star,1785,12.402328,0.32077023148813805,0.140625,L3,V
Hatchoi RH-U c16-0,Hatchoi RH-U c16-0 D,Star,T (Brown dwarf) Star,946,16.544403,0.16961669015097053,0.058594,T5,V
Eorld Pri WB-K c25-2852,Eorld Pri WB-K c25-2852 A,Star,K (Yellow-Orange) Star,4706,5.801407,0.9638976046010065,0.84375,K3,Va
Eorld Pri WB-K c25-2852,Eorld Pri WB-K c25-2852 B,Star,M (Red dwarf) Star,3331,8.721405,0.5015564054636952,0.390625,M2,Va
Bleethuae BI-Y c2-98,Bleethuae BI-Y c2-98,Star,M (Red dwarf) Star,3664,7.549957,0.7108764342199856,0.535156,M0,Va
Smojai LN-B c13-12,Smojai LN-B c13-12 A,Star,K (Yellow-Orange) Star,4248,6.883392,0.7188110079079799,0.640625,K6,Va
Smojai LN-B c13-12,Smojai LN-B c13-12 B,Star,M (Red dwarf) Star,3631,7.688553,0.6791076347951114,0.539063,M0,Va
Byoi Broae SF-C c1-0,Byoi Broae SF-C c1-0 A,Star,K (Yellow-Orange) Star,4250,6.748474,0.7641600920201294,0.632813,K6,Va
Byoi Broae SF-C c1-0,Byoi Broae SF-C c1-0 B,Star,M (Red dwarf) Star,3242,8.737717,0.525512649892164,0.34375,M2,Va
Byoi Broae SF-C c1-0,Byoi Broae SF-C c1-0 C,Star,K (Yellow-Orange) Star,4480,6.730331,0.6934813630481668,0.578125,K4,Vab
Bleae Thua QX-W b42-6,Bleae Thua QX-W b42-6,Star,M (Red dwarf) Star,2866,9.483078,0.4771117641984184,0.320313,M4,Va
Quemie QL-Y d5,Quemie QL-Y d5 A,Star,K (Yellow-Orange) Star,4545,6.313156,0.81646727821711,0.75,K4,Va
Quemie QL-Y d5,Quemie QL-Y d5 B,Star,K (Yellow-Orange) Star,4136,7.003784,0.7173766441409059,0.539063,K7,Va
Tyriedgaa SD-K d8-11,Tyriedgaa SD-K d8-11,Star,F (White) Star,7004,3.462769,1.277160534867002,1.59375,F3,Vb
Smootiae XJ-I d9-209,Smootiae XJ-I d9-209,Star,A (Blue-White) Star,7790,2.858826,1.3634032724658518,1.550781,A8,VI
Slegi PM-M c10-13,Slegi PM-M c10-13 A,Star,G (White-Yellow) Star,5494,5.091904,0.9804381308411215,0.882813,G6,Vab
Slegi PM-M c10-13,Slegi PM-M c10-13 B,Star,M (Red dwarf) Star,2974,9.070923,0.5356750309130123,0.382813,M4,Va
Ploi Thua IV-R b45-0,Ploi Thua IV-R b45-0 A,Star,M (Red dwarf) Star,3044,8.665222,0.6163329748382459,0.414063,M3,Va
Ploi Thua IV-R b45-0,Ploi Thua IV-R b45-0 B,Star,M (Red dwarf) Star,2196,11.031677,0.39834593817397557,0.203125,M8,Va
Ploi Aub JV-X b2-1,Ploi Aub JV-X b2-1 A,Star,M (Red dwarf) Star,2757,9.828568,0.4397583091301222,0.289063,M5,Va
Ploi Aub JV-X b2-1,Ploi Aub JV-X b2-1 B,Star,L (Brown dwarf) Star,1974,11.657669,0.3695373572969087,0.195313,L0,V
Stuemeae OY-Z c2771,Stuemeae OY-Z c2771 A,Star,K (Yellow-Orange) Star,4105,6.950974,0.746185248023005,0.59375,K7,Va
Stuemeae OY-Z c2771,Stuemeae OY-Z c2771 B,Star,M (Red dwarf) Star,2655,10.062637,0.42575072897196264,0.292969,M6,Va
Dryooe Prou FU-X c2-458,Dryooe Prou FU-X c2-458 A,Star,K (Yellow-Orange) Star,4990,5.96431,0.795349118619698,0.820313,K1,Vab
Dryooe Prou FU-X c2-458,Dryooe Prou FU-X c2-458 B,Star,L (Brown dwarf) Star,1435,13.807053,0.25994872178289,0.125,L8,V
Dryooe Prou FU-X c2-458,Dryooe Prou FU-X c2-458 C,Star,L (Brown dwarf) Star,1571,13.457779,0.25473021423436376,0.125,L6,V
Dryooe Prou FU-X c2-458,Dryooe Prou FU-X c2-458 D,Star,T (Brown dwarf) Star,1157,15.358994,0.19570921639108554,0.070313,T2,V
Gria Gree RD-R a59-1,Gria Gree RD-R a59-1,Star,T (Brown dwarf) Star,788,17.735962,0.14123533572969088,0.042969,T8,V
Boelts EM-T b46-3,Boelts EM-T b46-3 A,Star,M (Red dwarf) Star,2417,10.208435,0.48037719051042416,0.277344,M7,Va
Boelts EM-T b46-3,Boelts EM-T b46-3 B,Star,L (Brown dwarf) Star,1410,13.97583,0.24911496189791518,0.125,L8,V
Nuwo RR-U c19-1,Nuwo RR-U c19-1 A,Star,K (Yellow-Orange) Star,4729,5.96965,0.8833923220704529,0.75,K3,Va
Nuwo RR-U c19-1,Nuwo RR-U c19-1 B,Star,M (Red dwarf) Star,2209,11.298843,0.34811398993529835,0.203125,M8,Va
Nuwo RR-U c19-1,Nuwo RR-U c19-1 C,Star,L (Brown dwarf) Star,1505,13.810684,0.23593137598849748,0.101563,L7,V
Nuwo RR-U c19-1,Nuwo RR-U c19-1 D,Star,M (Red dwarf) Star,2446,10.326752,0.4441833271028037,0.296875,M7,Va
Nuwo RR-U c19-1,Nuwo RR-U c19-1 E,Star,M (Red dwarf) Star,2073,11.563858,0.3498840201294033,0.171875,M9,VI
Hypou Chroa JM-N b36-0,Hypou Chroa JM-N b36-0 A,Star,M (Red dwarf) Star,2370,10.80629,0.3793945075485262,0.222656,M7,Va
Hypou Chroa JM-N b36-0,Hypou Chroa JM-N b36-0 B,Star,T (Brown dwarf) Star,1119,15.367523,0.20840452048885694,0.074219,T3,V
Iorant QR-W c1-0,Iorant QR-W c1-0,Star,K (Yellow-Orange) Star,4644,6.38327,0.7571716232925952,0.6875,K3,Vab
Plaa Briae UE-R d4-128,Plaa Briae UE-R d4-128 A,Star,K (Yellow-Orange) Star,5106,5.504456,0.9387511718188354,0.898438,K0,Va
Plaa Briae UE-R d4-128,Plaa Briae UE-R d4-128 B,Star,K (Yellow-Orange) Star,4262,6.609528,0.8100585363048167,0.6875,K6,Va
Plaa Briae UE-R d4-128,Plaa Briae UE-R d4-128 C,Star,M (Red dwarf) Star,2612,9.985992,0.4556884658519051,0.296875,M6,Va
Plaa Briae UE-R d4-128,Plaa Briae UE-R d4-128 D,Star,M (Red dwarf) Star,3406,8.083939,0.6433410208483106,0.4375,M1,Va
NGC 6124 Sector HW-W d1-17,NGC 6124 Sector HW-W d1-17,Star,F (White) Star,7463,3.082474,1.3401487735442128,1.667969,F0,Vb
